"CodelineNumber","NormalCodeserverName","StandbyCodeserverName","CodeLineLimits","AddressATCS","PacketSwitchPIP","PacketSwitchSIP","PacketSwitchPPort","PacketSwitchSPort","CodeLineName","LegacyType","PacketSwitchPName","PacketSwitchSName","SetupParameterString","WNCPrimary","WNCSecondary","WNCProtocol","LinkLayerType","LinkLayerProtocol","LinkLayerUID","SessionProtocol","UseSecondaryPacketSwitch","UseTimeOutPauseBetweenRecallsOnStartup","SuppressConnection","StaleTimer"
"1","TEST","TEST","OCEAN TO SCHOOL","2022000000","127.0.0.1","127.0.0.1","0","0","CDLN-1","GENESYS","NONE","NONE","5;28;28;28;3;3;3;5","0","0","0","PORTAL","TCP","0","GENESYS","False","True",,
"2","TEST","TEST","MELROSE TO PALOMAR","2022000000","127.0.0.1","127.0.0.1","0","0","CDLN-2","GENESYS","NONE","NONE","5;28;28;28;3;3;3;5","0","0","0","PORTAL","TCP","0","GENESYS","False","True",,
"3","TEST","TEST","LOOP WEST TO AVO","2022000000","127.0.0.1","127.0.0.1","0","0","CDLN-3","GENESYS","NONE","NONE","5;28;28;28;3;3;3;5","0","0","0","PORTAL","TCP","0","GENESYS","False","True",,
"5","CODE-02A","CODE-02B","CODE LINE LIMITS","2022000000","172.20.20.218","172.20.20.219","5505","5505","CDLN-5","ATCS","WCC 3713","WCC 3714","5;28;28;28;3;3;3;5;","0","0","0","0","0","0","0","False","True",,
"6","CODE-01A","CODE-01B","CP OCEAN","0","127.0.0.1","127.0.0.1","0","0","CDLN-6","GENESYS","CP OCEAN","CP OCEAN","5;28;28;28;3;3;3;5","0","0","0","PORTAL","TCP","0","GENESYS","False","True",,
"7","CODE-01A","CODE-01B","CP RAILROAD","0","127.0.0.1","127.0.0.1","0","0","CDLN-7","GENESYS","NONE","NONE","5;28;28;28;3;3;3;5","0","0","0","PORTAL","TCP","0","GENESYS","False","True",,
"8","CODE-01A","CODE-01B","CP WYE","0","127.0.0.1","127.0.0.1","0","0","CDLN-8","GENESYS","NONE","NONE","5;28;28;28;3;3;3;5","0","0","0","PORTAL","TCP","0","GENESYS","False","True",,
"9","CODE-01A","CODE-01B","CROUCH STATION","0","127.0.0.1","127.0.0.1","0","0","CDLN-9","GENESYS","NONE","NONE","5;28;28;28;3;3;3;5","0","0","0","PORTAL","TCP","0","GENESYS","False","True",,
"10","CODE-01A","CODE-01B","CP TRUE","0","127.0.0.1","127.0.0.1","0","0","CDLN-10","GENESYS","NONE","NONE","5;28;28;28;3;3;3;5","0","0","0","PORTAL","TCP","0","GENESYS","False","True",,
"11","CODE-01A","CODE-01B","EL CAMINO STATION","0","127.0.0.1","127.0.0.1","0","0","CDLN-11","GENESYS","NONE","NONE","5;28;28;28;3;3;3;5","0","0","0","PORTAL","TCP","0","GENESYS","False","True",,
"12","CODE-01A","CODE-01B","RANCHO STATION","0","127.0.0.1","127.0.0.1","0","0","CDLN-12","GENESYS","NONE","NONE","5;28;28;28;3;3;3;5","0","0","0","PORTAL","TCP","0","GENESYS","False","True",,
"13","CODE-01A","CODE-01B","CP SCHOOL","0","127.0.0.1","127.0.0.1","0","0","CDLN-13","GENESYS","NONE","NONE","5;28;28;28;3;3;3;5","0","0","0","PORTAL","TCP","0","GENESYS","False","True",,
"14","CODE-01A","CODE-01B","MELROSE STATION","0","127.0.0.1","127.0.0.1","0","0","CDLN-14","GENESYS","NONE","NONE","5;28;28;28;3;3;3;5","0","0","0","PORTAL","TCP","0","GENESYS","False","True",,
"15","CODE-01A","CODE-01B","CP ANGEL","0","127.0.0.1","127.0.0.1","0","0","CDLN-15","GENESYS","NONE","NONE","5;28;28;28;3;3;3;5","0","0","0","PORTAL","TCP","0","GENESYS","False","True",,
"16","CODE-01A","CODE-01B","VISTA STATION","0","127.0.0.1","127.0.0.1","0","0","CDLN-16","GENESYS","NONE","NONE","5;28;28;28;3;3;3;5","0","0","0","PORTAL","TCP","0","GENESYS","False","True",,
"17","CODE-01A","CODE-01B","ESCONDIDO AVE","0","127.0.0.1","127.0.0.1","0","0","CDLN-17","GENESYS","NONE","NONE","5;28;28;28;3;3;3;5","0","0","0","PORTAL","TCP","0","GENESYS","False","True",,
"18","CODE-01A","CODE-01B","CP AVENUE","0","127.0.0.1","127.0.0.1","0","0","CDLN-18","GENESYS","NONE","NONE","5;28;28;28;3;3;3;5","0","0","0","PORTAL","TCP","0","GENESYS","False","True",,
"19","CODE-01A","CODE-01B","BUENA CREEK","0","127.0.0.1","127.0.0.1","0","0","CDLN-19","GENESYS","NONE","NONE","5;28;28;28;3;3;3;5","0","0","0","PORTAL","TCP","0","GENESYS","False","True",,
"20","CODE-01A","CODE-01B","CP MISSY","0","127.0.0.1","127.0.0.1","0","0","CDLN-20","GENESYS","NONE","NONE","5;28;28;28;3;3;3;5","0","0","0","PORTAL","TCP","0","GENESYS","False","True",,
"21","CODE-01A","CODE-01B","PALOMAR STATION","0","127.0.0.1","127.0.0.1","0","0","CDLN-21","GENESYS","NONE","NONE","5;28;28;28;3;3;3;5","0","0","0","PORTAL","TCP","0","GENESYS","False","True",,
"22","CODE-01A","CODE-01B","CP LOOP WEST","0","127.0.0.1","127.0.0.1","0","0","CDLN-22","GENESYS","NONE","NONE","5;28;28;28;3;3;3;5","0","0","0","PORTAL","TCP","0","GENESYS","False","True",,
"23","CODE-01A","CODE-01B","CP SHELLY","0","127.0.0.1","127.0.0.1","0","0","CDLN-23","GENESYS","NONE","NONE","5;28;28;28;3;3;3;5","0","0","0","PORTAL","TCP","0","GENESYS","False","True",,
"24","CODE-01A","CODE-01B","CP LOOP EAST","0","127.0.0.1","127.0.0.1","0","0","CDLN-24","GENESYS","NONE","NONE","5;28;28;28;3;3;3;5","0","0","0","PORTAL","TCP","0","GENESYS","False","True",,
"25","CODE-01A","CODE-01B","NORDAHL STATION","0","127.0.0.1","127.0.0.1","0","0","CDLN-25","GENESYS","NONE","NONE","5;28;28;28;3;3;3;5","0","0","0","PORTAL","TCP","0","GENESYS","False","True",,
"26","CODE-01A","CODE-01B","CP HOLDOUT","0","127.0.0.1","127.0.0.1","0","0","CDLN-26","GENESYS","NONE","NONE","5;28;28;28;3;3;3;5","0","0","0","PORTAL","TCP","0","GENESYS","False","True",,
