"UID","ControlPoint","Name","Type","LX","LY","RX","RY","LeftLink","RightLink","LeftAltLink","RightAltLink","AltLinkOne","AltLinkTwo","Codeline","PIND","PCTL","SIND","SCTL","TIND","TCTL","AuthorityType","TrkName","TerritoryAssignment","Subdivision","IndicateOnly","Blocking","LockBit","SwitchBlockInd","SwitchBlkBit","Controlled","ProtectOpenSwitch","OSLocking","NoValidate","TypeOfSwitch","MatchMode","GraphicGroup","ScreenRegion","FlipOperations","IgnoreOS","BlueFlag","OCS","ICS","Notes","IgnoreBothIndBits","RCPS","RCPSControlBits","RCPSIndicationBits","SwitchPointMonitorMode","SwitchLockNoControl","SwitchPointMonitorModeTimeOut","SPICoordinate","AllowSwitchRestoralOnAuthRelease","UsedForEntryToMain","PTCUID","AllowForceOperationsToTWC","Milepost","MilepostSuffix","ToolTipName","SwitchBlockControlBit","MakeInVisible","MilepostPrefix","AdditionalReferenceUID","PublishStatusToPTC","DevicePTCUID","EnableDTMFType","PTC_UID_KEY","PTC_DeviceName","PTC_ProperName","PTC_WIUStatusIndex","PTC_DeviceBlockID","PTC_Enable_EMT","SwitchPairList","AutoRestore","ShowElectricLockIcon","RRUniqueIdentifierName","AlarmTime","SwitchingMode","SwitchEventID"
"100124","100001","1-SWITCH","S","120","175","380","120","100117","100118","0","100119","0","0","5","1;1;100001;","1;1;100001;|0;1;100001;","3;1;100001;","3;1;100001;|0;1;100001;","0;1;100001;","0;1;100001;|0;1;100001;","CTC","MAIN","100","2","False","True","0;1;100001","False","0;0;0","False","False","True","False","NORMAL","False","1","4","False","False","False","False","False","NONE","False","False","0;1;100001|0;1;100001|0;1;100001|0;1;100001","0;1;100001|0;1;100001|0;1;100001|0;1;100001|0;1;100001","False","False","15","0","False","False","0","False","209.1286","","1-SWITCH","","False","",,"False","CP Songs|1","False","1000030","1","1 Dual Controlled - Songs Main MP209.1286","0","0","False",,,,,"0",,
"100145","100003","1-SWITCH","S","800","125","925","800","100138","100141","0","100140","0","0","5","1;1;100003;","1;1;100003;|0;1;100003;","3;1;100003;","3;1;100003;|0;1;100003;","0;1;100003;","0;1;100003;|0;1;100003;","CTC","MAIN","100","2","False","True","0;1;100003","False","0;0;0","False","False","True","False","NORMAL","False","1","3","False","False","False","False","False","NONE","False","False","0;1;100003|0;1;100003|0;1;100003|0;1;100003","0;1;100003|0;1;100003|0;1;100003|0;1;100003|0;1;100003","False","False","15","0","False","False","0","False","218.1412","","1-SWITCH","","False","",,"False","CP Pulgas|1","False","1000050","1","1 Dual Controlled - Pulgas Main MP218.1412","0","0","False",,,,,"0",,
"100149","100002","1-SWITCH","S","480","125","805","480","100115","100136","0","100127","0","0","5","1;1;100002;","1;1;100002;|0;1;100002;","2;1;100002;","2;1;100002;|0;1;100002;","0;1;100002;","0;1;100002;|0;1;100002;","CTC","MT1","100","2","False","True","0;1;100002","False","0;0;0","False","False","True","False","NORMAL","False","1","3","False","False","False","False","False","NONE","False","False","0;1;100002|0;1;100002|0;1;100002|0;1;100002","0;1;100002|0;1;100002|0;1;100002|0;1;100002|0;1;100002","False","False","15","0","False","False","0","False","216.2774","","1X","","False","",,"False","","False","1000004","1X","1X Dual Controlled - Don Main1 MP216.277","2","0","False",,,,,"0",,
"100150","100002","3-SWITCH","S","625","125","930","625","100136","100146","100137","0","0","0","5","3;1;100002;","3;1;100002;|0;1;100002;","4;1;100002;","4;1;100002;|0;1;100002;","0;1;100002;","0;1;100002;|0;1;100002;","CTC","MT1","100","2","False","True","0;1;100002","False","0;0;0","False","False","True","False","NORMAL","False","1","3","False","False","False","False","False","NONE","False","False","0;1;100002|0;1;100002|0;1;100002|0;1;100002","0;1;100002|0;1;100002|0;1;100002|0;1;100002|0;1;100002","False","False","15","0","False","False","0","False","216.5097","","3X","","False","",,"False","","False","1000013","3X","3X Dual Controlled - Don Main1 MP216.510","6","0","False",,,,,"0",,
"100166","100005","3-SWITCH","S","1190","175","1020","1190","100159","100160","0","100678","0","0","5","17;1;100005;","17;1;100005;|0;1;100005;","19;1;100005;","19;1;100005;|0;1;100005;","0;1;100005;","0;1;100005;|0;1;100005;","CTC","MT2","100","2","False","True","0;1;100005","False","0;0;0","False","False","True","False","NORMAL","False","1","4","False","False","False","False","False","NONE","False","False","0;1;100005|0;1;100005|0;1;100005|0;1;100005","0;1;100005|0;1;100005|0;1;100005|0;1;100005|0;1;100005","False","False","15","0","False","False","0","False","221.5854","","3-SWITCH","","False","",,"False","","False","1000028","3","3 Dual Controlled - Stuart Main2 MP221.585","2","0","False",,,,,"0",,
"100168","100002","1-SWITCH","S","530","175","845","530","100154","100155","100157","0","0","0","5","1;1;100002;","1;1;100002;|0;1;100002;","2;1;100002;","2;1;100002;|0;1;100002;","0;1;100002;","0;1;100002;|0;1;100002;","CTC","MT2","100","2","False","True","0;1;100002","False","0;0;0","False","False","True","False","NORMAL","False","1","4","False","False","False","False","False","NONE","False","False","0;1;100002|0;1;100002|0;1;100002|0;1;100002","0;1;100002|0;1;100002|0;1;100002|0;1;100002|0;1;100002","False","False","15","0","False","False","0","False","216.383","","1-SWITCH","","False","",,"False","","False","1000011","1","1 Dual Controlled - Don Main2 MP216.383","0","0","False",,,,,"0",,
"100169","100002","3-SWITCH","S","575","175","890","575","100155","100161","0","100158","0","0","5","3;1;100002;","3;1;100002;|0;1;100002;","4;1;100002;","4;1;100002;|0;1;100002;","0;1;100002;","0;1;100002;|0;1;100002;","CTC","MT2","100","2","False","True","0;1;100002","False","0;0;0","False","False","True","False","NORMAL","False","1","4","False","False","False","False","False","NONE","False","False","0;1;100002|0;1;100002|0;1;100002|0;1;100002","0;1;100002|0;1;100002|0;1;100002|0;1;100002|0;1;100002","False","False","15","0","False","False","0","False","216.4013","","3-SWITCH","","False","",,"False","","False","1000012","3","3 Dual Controlled - Don Main2 MP216.401","4","0","False",,,,,"0",,
"100187","100025","1-SWITCH","S","1060","685","800","1060","100180","100181","0","100182","0","0","5","1;1;100025;","1;1;100025;|0;1;100025;","2;1;100025;","2;1;100025;|0;1;100025;","0;1;100025;","0;1;100025;|0;1;100025;","CTC","MAIN","100","2","False","True","0;1;100025","False","0;0;0","False","False","True","False","NORMAL","False","1","13","False","False","False","False","False","NONE","False","False","0;1;100025|0;1;100025|0;1;100025|0;1;100025","0;1;100025|0;1;100025|0;1;100025|0;1;100025|0;1;100025","False","False","15","0","False","False","0","False","247.7817","","1-SWITCH","","False","",,"False","","False","1000003","1","1 Dual Controlled - Torrey Main MP247.782","0","0","False",,,,,"0",,
"100220","100009","1-SWITCH","S","1845","175","505","1845","100877","100878","100876","0","0","0","5","1;1;100009;","1;1;100009;|0;1;100009;","3;1;100009;","3;1;100009;|0;1;100009;","0;1;100009;","0;1;100009;|0;1;100009;","CTC","MAIN","100","2","False","True","0;1;100009","False","0;0;0","False","False","True","False","NORMAL","False","1","4","False","False","False","False","False","NONE","False","False","0;1;100009|0;1;100009|0;1;100009|0;1;100009","0;1;100009|0;1;100009|0;1;100009|0;1;100009|0;1;100009","False","False","15","0","False","False","0","False","225.2829","","1-SWITCH","","False","",,"False","","False","1000005","1","1 Dual Controlled - East Brook Main MP225.283","0","0","False",,,,,"0",,
"100236","100018","PONTO HOUSE TRACK","SPLT","1615","385","1200","1615","0","0","0","0","0","0","5","0;1;100018;","0;1;100018;|0;1;100018;","0;1;100018;","0;1;100018;|0;1;100018;","0;1;100018;","0;1;100018;|0;1;100018;","CTC","MAIN 1","100","2","False","True","0;1;100018","False","0;0;0","False","False","True","False","SPM ONLY","False","1","8","False","False","False","False","False","NONE","False","False","0;1;100018|0;1;100018|0;1;100018|0;1;100018","0;1;100018|0;1;100018|0;1;100018|0;1;100018|0;1;100018","True","False","15","0","False","True","0","False","234.2731","","PONTO HOUSE TRACK","","False","",,"False","","False","1000087","0","Hand Throw Ponto House Track Main1 MP234.273","0","0","False",,,,,"0",,
"100238","100001","EDISON POWER PLANT","SPRB","200","175","370","200","0","0","0","0","0","0","5","0;1;100001;","0;1;100001;|0;1;100001;","0;1;100001;","0;1;100001;|0;1;100001;","0;1;100001;","0;1;100001;|0;1;100001;","CTC","MAIN2","100","2","False","True","0;1;100001","False","0;0;0","False","False","True","False","SPM ONLY","False","1","4","False","False","False","False","False","NONE","False","False","0;1;100001|0;1;100001|0;1;100001|0;1;100001","0;1;100001|0;1;100001|0;1;100001|0;1;100001|0;1;100001","True","False","15","0","True","True","0","False","209.3346","","EDISON POWER PLANT","","False","",,"False","","False","1000010","0","Hand Throw Edison Main2 MP209.335","0","0","False",,,,,"0",,
"100241","100013","EAST LEG ESCONDIDO JCT","SPLT","825","425","570","825","0","0","0","0","0","0","5","0;1;100013;","0;1;100013;|0;1;100013;","0;1;100013;","0;1;100013;|0;1;100013;","0;1;100013;","0;1;100013;|0;1;100013;","CTC","MAIN1","100","2","False","True","0;1;100013","False","0;0;0","False","False","True","False","SPM ONLY","False","1","8","False","False","False","False","False","NONE","False","False","0;1;100013|0;1;100013|0;1;100013|0;1;100013","0;1;100013|0;1;100013|0;1;100013|0;1;100013|0;1;100013","True","False","15","0","False","True","0","False","227.5457","","EAST LEG ESCONDIDO JCT","","False","",,"False","","False","1000038","0","Hand Throw Escondido East Leg Main1 MP227.546","0","0","False",,,,,"0",,
"100243","100017","SDGE HOUSE TRACK","SPLB","1220","425","1005","1220","0","0","0","0","0","0","5","0;1;100017;","0;1;100017;|0;1;100017;","0;1;100017;","0;1;100017;|0;1;100017;","0;1;100017;","0;1;100017;|0;1;100017;","CTC","MAIN2","100","2","False","True","0;1;100017","False","0;0;0","False","False","True","False","SPM ONLY","False","1","8","False","False","False","False","False","NONE","False","False","0;1;100017|0;1;100017|0;1;100017|0;1;100017","0;1;100017|0;1;100017|0;1;100017|0;1;100017|0;1;100017","True","False","15","0","False","True","0","False","231.3418","","SDGE HOUSE TRACK","","False","",,"False","","False","1000071","0","Hand Throw SDGE House Track Main2 MP231.342","0","0","False",,,,,"0",,
"100253","100012","1-SWITCH","S","120","425","735","120","100246","100247","0","100248","0","0","5","1;1;100012;","1;1;100012;|0;1;100012;","3;1;100012;","2;1;100012;|0;1;100012;","0;1;100012;","0;1;100012;|0;1;100012;","CTC","MAIN","100","2","False","True","0;1;100012","False","0;0;0","False","False","True","False","NORMAL","False","1","8","False","False","False","False","False","NONE","False","False","0;1;100012|0;1;100012|0;1;100012|0;1;100012","0;1;100012|0;1;100012|0;1;100012|0;1;100012|0;1;100012","False","False","15","0","False","False","0","False","225.9539","","1-SWITCH","","False","",,"False","","False","1000080","1","1 Dual Controlled - Shell Main MP225.954","0","0","False",,,,,"0",,
"100275","100013","3-SWITCH","S","465","425","1305","465","100259","100289","100269","0","0","0","5","3;1;100013;","3;1;100013;|0;1;100013;","4;1;100013;","4;1;100013;|0;1;100013;","0;1;100013;","0;1;100013;|0;1;100013;","CTC","MT1","100","2","False","True","0;1;100013","False","0;0;0","False","False","True","False","NORMAL","False","1","8","False","False","False","False","False","NONE","False","False","0;1;100013|0;1;100013|0;1;100013|0;1;100013","0;1;100013|0;1;100013|0;1;100013|0;1;100013|0;1;100013","False","False","15","0","False","False","0","False","226.7037","","3-SWITCH","","False","",,"False","","False","1000050","3","3 Dual Controlled - Escondido Jct Main1 MP226.704","2","0","False",,,,,"0",,
"100276","100004","1-SWITCH","S","480","950","1265","480","100274","100284","0","100279","0","0","5","1;1;100004;","1;1;100004;|0;1;100004;","2;1;100004;","2;1;100004;|0;1;100004;","0;1;100004;","0;1;100004;|0;1;100004;","CTC","MT2","100","2","False","True","0;1;100004","False","0;0;0","False","False","True","False","NORMAL","False","1","18","False","False","False","False","False","NONE","False","False","0;1;100004|0;1;100004|0;1;100004|0;1;100004","0;1;100004|0;1;100004|0;1;100004|0;1;100004|0;1;100004","False","False","15","0","False","False","0","False","262.1425","","1X","","False","",,"False","","False","1000049","1X","1X Dual Controlled - Cudahy Main2 MP262.143","0","0","False",,,,,"0",,
"100282","100004","1-SWITCH","S","520","910","1305","520","100271","100283","100280","0","0","0","5","1;1;100004;","1;1;100004;|0;1;100004;","2;1;100004;","2;1;100004;|0;1;100004;","0;1;100004;","0;1;100004;|0;1;100004;","CTC","MT1","100","2","False","True","0;1;100004","False","0;0;0","False","False","True","False","NORMAL","False","1","17","False","False","False","False","False","NONE","False","False","0;1;100004|0;1;100004|0;1;100004|0;1;100004","0;1;100004|0;1;100004|0;1;100004|0;1;100004|0;1;100004","False","False","15","0","False","False","0","False","262.2433","","1-SWITCH","","False","",,"False","","False","1000050","1","1 Dual Controlled - Cudahy Main1 MP262.243","0","0","False",,,,,"0",,
"100285","100004","3-SWITCH","S","565","910","1405","565","100283","100299","0","100287","0","0","5","3;1;100004;","3;1;100004;|0;1;100004;","4;1;100004;","4;1;100004;|0;1;100004;","0;1;100004;","0;1;100004;|0;1;100004;","CTC","MT1","100","2","False","True","0;1;100004","False","0;0;0","False","False","True","False","NORMAL","False","1","17","False","False","False","False","False","NONE","False","False","0;1;100004|0;1;100004|0;1;100004|0;1;100004","0;1;100004|0;1;100004|0;1;100004|0;1;100004|0;1;100004","False","False","15","0","False","False","0","False","262.2712","","3-SWITCH","","False","",,"False","","False","1000051","3","3 Dual Controlled - Cudahy Main1 MP262.271","2","0","False",,,,,"0",,
"100286","100013","3-SWITCH","S","425","465","1265","425","100261","100580","0","100281","0","0","5","3;1;100013;","3;1;100013;|0;1;100013;","4;1;100013;","4;1;100013;|0;1;100013;","0;1;100013;","0;1;100013;|0;1;100013;","CTC","MT2","100","2","False","True","0;1;100013","False","0;0;0","False","False","True","False","NORMAL","False","1","9","False","False","False","False","False","NONE","False","False","0;1;100013|0;1;100013|0;1;100013|0;1;100013","0;1;100013|0;1;100013|0;1;100013|0;1;100013|0;1;100013","False","False","15","0","False","False","0","False","226.6472","","3X","","False","",,"False","","False","1000031","3X","3X Dual Controlled - Escondido Jct Main2 MP226.647","2","0","False",,,,,"0",,
"100295","100004","3-SWITCH","S","605","950","1435","605","100284","100298","100294","0","0","0","5","3;1;100004;","3;1;100004;|0;1;100004;","4;1;100004;","4;1;100004;|0;1;100004;","0;1;100004;","0;1;100004;|0;1;100004;","CTC","MT2","100","2","False","True","0;1;100004","False","0;0;0","False","False","True","False","NORMAL","False","1","18","False","False","False","False","False","NONE","False","False","0;1;100004|0;1;100004|0;1;100004|0;1;100004","0;1;100004|0;1;100004|0;1;100004|0;1;100004|0;1;100004","False","False","15","0","False","False","0","False","262.3746","","3X","","False","",,"False","","False","1000052","3X","3X Dual Controlled - Cudahy Main2 MP262.375","2","0","False",,,,,"0",,
