component_family,assignment_owner_type,reference_column,reference_kind,row_count,resolved_count,unresolved_count,default_zero_count,distinct_component_count,distinct_parent_control_point_count,distinct_codeline_count,subdivision_names,reference_formats,resolution_methods,top_unresolved_raw_values,top_default_zero_values,top_resolved_reference_values,top_resolved_mnemonics,top_resolved_long_names
switch,switch_reference,RCPSIndicationBits,indication,495,0,495,0,99,40,14,ESCONDIDO|SAN DIEGO,code_line_station_control_point,,0;1;100013|0;1;100013|0;1;100013|0;1;100013|0;1;100013|0;1;200027|0;1;200027|0;1;200027|0;1;200027|0;1;200027|0;1;100033|0;1;100033|0;1;100033|0;1;100033|0;1;100033|0;1;100009|0;1;100009|0;1;100009|0;1;100009|0;1;100009|0;1;100017|0;1;100017|0;1;100017|0;1;100017|0;1;100017|0;1;100002|0;1;100002|0;1;100002|0;1;100002|0;1;100002|0;1;100004|0;1;100004|0;1;100004|0;1;100004|0;1;100004|0;1;100005|0;1;100005|0;1;100005|0;1;100005|0;1;100005|0;1;100006|0;1;100006|0;1;100006|0;1;100006|0;1;100006|0;1;100007|0;1;100007|0;1;100007|0;1;100007|0;1;100007|0;1;100020|0;1;100020|0;1;100020|0;1;100020|0;1;100020|0;1;100001|0;1;100001|0;1;100001|0;1;100001|0;1;100001,,,,
track,track_reference,TIND,indication,442,0,442,0,442,50,24,ESCONDIDO|SAN DIEGO,code_line_station_control_point_bit,,0;1;100006;0005|0;1;100033;0005|0;1;200027;0027|0;1;100008;0005|0;1;100017;0005|0;1;100031;0005|0;1;100002;0005|0;1;100013;0005|0;1;100007;0005|0;1;100010;0005|0;1;100005;0005|0;1;100027;0005,,,,
track,track_reference,PCTL,control,444,0,441,3,444,50,24,ESCONDIDO|SAN DIEGO,code_line_station_control_point_bit|default_zero,,0;1;100033;0005|0;1;100013;0005|0;1;200027;0027|0;1;100008;0005|0;1;100006;0005|0;1;100007;0005|0;1;100002;0005|0;1;100004;0005|0;1;100001;0005|0;1;100005;0005|0;1;100020;0005|0;1;100027;0005,0;0;0;0,,,
track,track_reference,TCTL,control,444,0,441,3,444,50,24,ESCONDIDO|SAN DIEGO,code_line_station_control_point_bit|default_zero,,0;1;100033;0005|0;1;100013;0005|0;1;200027;0027|0;1;100008;0005|0;1;100006;0005|0;1;100007;0005|0;1;100002;0005|0;1;100004;0005|0;1;100001;0005|0;1;100005;0005|0;1;100020;0005|0;1;100027;0005,0;0;0;0,,,
track,track_reference,SCTL,control,444,1,440,3,444,50,24,ESCONDIDO|SAN DIEGO,code_line_station_control_point_bit|default_zero,inferred_bp_assignment_station_control_point_with_trailing_code_line,0;1;100033;0005|0;1;100013;0005|0;1;200027;0027|0;1;100008;0005|0;1;100006;0005|0;1;100007;0005|0;1;100002;0005|0;1;100004;0005|0;1;100001;0005|0;1;100005;0005|0;1;100020;0005|0;1;100027;0005,0;0;0;0,11;1;200002;0007,3WBLZ,25 TRACK BLOCK
track,track_reference,SIND,indication,444,31,413,0,444,50,24,ESCONDIDO|SAN DIEGO,code_line_station_control_point_bit,inferred_bp_assignment_station_control_point_with_trailing_code_line,0;1;100033;0005|0;1;200027;0027|0;1;100013;0005|0;1;100008;0005|0;1;100004;0005|0;1;100007;0005|0;1;100002;0005|0;1;100006;0005|0;1;100005;0005|0;1;100027;0005|0;1;100001;0005|0;1;100020;0005,,4;1;100017;0005|20;1;100017;0005|4;1;100000;0005|14;1;100002;0005|4;1;100005;0005|20;1;100005;0005|13;1;100035;0005|4;1;100006;0005|14;1;100009;0005|6;1;100009;0005|20;1;100006;0005|14;1;100025;0005,2EAK|4EAK|EAAK|EAK|EBAK|2EAAK|2WAK|3WBLK|4EAAK|4WAK|6EAK|BLANK,4EAK|EAAK|2EAK|EAK|EBAK|2 EASTBOUND TRACK INDICATION|2EA TRACK CIRCUIT INDICATION|2EAAK|2WAK|4EA TRACK CIRCUIT INDICATION|4EAAK|4WAK
switch,switch_reference,RCPSControlBits,control,396,0,396,0,99,40,14,ESCONDIDO|SAN DIEGO,code_line_station_control_point,,0;1;100013|0;1;100013|0;1;100013|0;1;100013|0;1;200027|0;1;200027|0;1;200027|0;1;200027|0;1;100033|0;1;100033|0;1;100033|0;1;100033|0;1;100009|0;1;100009|0;1;100009|0;1;100009|0;1;100017|0;1;100017|0;1;100017|0;1;100017|0;1;100002|0;1;100002|0;1;100002|0;1;100002|0;1;100004|0;1;100004|0;1;100004|0;1;100004|0;1;100005|0;1;100005|0;1;100005|0;1;100005|0;1;100006|0;1;100006|0;1;100006|0;1;100006|0;1;100007|0;1;100007|0;1;100007|0;1;100007|0;1;100020|0;1;100020|0;1;100020|0;1;100020|0;1;100001|0;1;100001|0;1;100001|0;1;100001,,,,
signal,signal_reference,SCTL,control,330,1,329,0,165,50,24,ESCONDIDO|SAN DIEGO,code_line_station_control_point_bit,inferred_bp_assignment_station_control_point_with_trailing_code_line,0;1;100013;0005|0;1;100013;0005|0;1;100033;0005|0;1;100033;0005|0;1;200027;0027|0;1;200027;0027|0;1;100005;0005|0;1;100005;0005|0;1;100006;0005|0;1;100006;0005|0;1;100008;0005|0;1;100008;0005|0;1;200017;0022|0;1;200017;0022|0;1;100002;0005|0;1;100002;0005|0;1;100004;0005|0;1;100004;0005|0;1;100007;0005|0;1;100007;0005|0;1;100010;0005|0;1;100010;0005|0;1;100017;0005|0;1;100017;0005,,0;1;200017;0022|6;1;200017;0022,EGNS,TRAIN READY
signal,signal_reference,TCTL,control,330,12,318,0,165,50,24,ESCONDIDO|SAN DIEGO,code_line_station_control_point_bit,explicit_code_line_station_control_point_bp_assignment,0;1;100013;0005|0;1;100013;0005|0;1;100033;0005|0;1;100033;0005|0;1;200017;0022|0;1;200017;0022|0;1;200027;0027|0;1;200027;0027|0;1;100005;0005|0;1;100005;0005|0;1;100006;0005|0;1;100006;0005|0;1;100008;0005|0;1;100008;0005|0;1;100002;0005|0;1;100002;0005|0;1;100004;0005|0;1;100004;0005|0;1;100007;0005|0;1;100007;0005|0;1;100010;0005|0;1;100010;0005|0;1;100017;0005|0;1;100017;0005,,5;1;100012;0005|0;1;100012;0005|5;1;100018;0005|0;1;100018;0005|5;1;100023;0005|0;1;100023;0005|5;1;100024;0005|0;1;100024;0005,SIGSTOP,SGHS
track,track_reference,QCTL,control,312,0,309,3,312,42,16,ESCONDIDO|SAN DIEGO,code_line_station_control_point_bit|default_zero,,0;1;100033;0005|0;1;100013;0005|0;1;100008;0005|0;1;100006;0005|0;1;100007;0005|0;0;0;0000|0;1;100002;0005|0;1;100004;0005|0;1;100005;0005|0;1;100020;0005|0;1;100027;0005|0;1;100017;0005,0;0;0;0,,,
switch,switch_reference,TCTL,control,198,7,191,0,99,40,14,ESCONDIDO|SAN DIEGO,code_line_station_control_point,inferred_bp_assignment_station_control_point_via_unique_cp_line,0;1;100013;|0;1;100013;|0;1;100033;|0;1;100033;|0;1;100009;|0;1;100009;|0;1;100017;|0;1;100017;|0;1;200027;|0;1;200027;|0;1;100002;|0;1;100002;|0;1;100004;|0;1;100004;|0;1;100005;|0;1;100005;|0;1;100006;|0;1;100006;|0;1;100007;|0;1;100007;|0;1;100020;|0;1;100020;|0;1;100001;|0;1;100001;,,10;1;200002;|0;1;200002;|9;1;200004;|0;1;200004;|10;1;200004;|0;1;200004;|17;1;200027;|0;1;200027;|19;1;200027;|0;1;200027;|20;1;200027;|0;1;200027;,5BLZ|11BLZ|1BCAN|1BLZ|3BLZ|9BLZ,SWITCH BLOCKED|SWITCH BLOCK|3 SWITCH BLOCK
signal,signal_reference,PCTL,control,330,165,165,0,165,50,24,ESCONDIDO|SAN DIEGO,code_line_station_control_point_bit,inferred_bp_assignment_station_control_point_with_trailing_code_line|explicit_code_line_station_control_point_bp_assignment,15;1;200027;0027|0;1;200027;0027|5;1;100008;0005|0;1;100008;0005|6;1;100027;0005|0;1;100027;0005|16;1;200027;0027|0;1;200027;0027|21;1;100006;0005|0;1;100006;0005|23;1;100005;0005|0;1;100005;0005|23;1;100033;0005|0;1;100033;0005|3;1;100012;0005|0;1;100012;0005|3;1;100023;0005|0;1;100023;0005|3;1;200000;0006|0;1;200000;0006|3;1;200004;0008|0;1;200004;0008|3;1;200007;0013|0;1;200007;0013,,5;1;100000;0005|0;1;100000;0005|7;1;100000;0005|0;1;100000;0005|5;1;100001;0005|0;1;100001;0005|7;1;100001;0005|0;1;100001;0005|5;1;100002;0005|0;1;100002;0005|6;1;100002;0005|0;1;100002;0005|7;1;100002;0005|0;1;100002;0005|8;1;100002;0005|0;1;100002;0005|5;1;100003;0005|0;1;100003;0005|7;1;100003;0005|0;1;100003;0005|8;1;100004;0005|0;1;100004;0005|6;1;100004;0005|0;1;100004;0005,EGHS|WGHS|2WGHS|4WGHS|2EGHS|4EGHS|EHS|WHS|EHSR|EHZ|1EGHS|1WGHS,EASTBOUND SIGNAL CONTROL|WESTBOUND SIGNAL CONTROL|SIGNAL CLEAR|2 WESTBOUND SIGNAL CONTROL|2 EASTBOUND SIGNAL CONTROL|4 EASTBOUND SIGNAL CONTROL|4 WESTBOUND SIGNAL CONTROL|1 EASTBOUND SIGNAL CONTROL|1 WESTBOUND SIGNAL CONTROL|18 SIGNAL CLEAR|19 SIGNAL CLEAR|2 EAST SIGNAL CONTROL
signal,signal_reference,FleetControlBit,control,165,0,165,0,165,50,24,ESCONDIDO|SAN DIEGO,code_line_station_control_point_bit,,0;1;100013;0005|0;1;100033;0005|0;1;200017;0022|0;1;200027;0027|0;1;100005;0005|0;1;100006;0005|0;1;100008;0005|0;1;100002;0005|0;1;100004;0005|0;1;100007;0005|0;1;100010;0005|0;1;100017;0005,,,,
signal,signal_reference,TIND,indication,165,0,165,0,165,50,24,ESCONDIDO|SAN DIEGO,code_line_station_control_point_bit,,0;1;100013;0005|0;1;100033;0005|0;1;200017;0022|0;1;200027;0027|0;1;100005;0005|0;1;100006;0005|0;1;100008;0005|0;1;100002;0005|0;1;100004;0005|0;1;100007;0005|0;1;100010;0005|0;1;100017;0005,,,,
signal,signal_reference,SIND,indication,165,2,163,0,165,50,24,ESCONDIDO|SAN DIEGO,code_line_station_control_point_bit,explicit_code_line_station_control_point_bp_assignment|inferred_bp_assignment_station_control_point_with_trailing_code_line,0;1;100013;0005|0;1;100033;0005|0;1;200027;0027|0;1;100005;0005|0;1;100006;0005|0;1;100008;0005|0;1;200017;0022|0;1;100002;0005|0;1;100004;0005|0;1;100007;0005|0;1;100010;0005|0;1;100017;0005,,5;1;100009;0005|6;1;200017;0022,EGNK|EHK,EASTBOUND SIGNAL INDICATION|RELEASE TRAIN
misc_device,misc_device_cp_slot,CPCTL3,control,119,0,119,0,119,26,22,ESCONDIDO|SAN DIEGO,code_line_station_control_point,,0;1;200027;|0;1;200007;|0;1;200017;|0;1;200004;|0;1;200010;|0;1;200011;|0;1;200019;|0;1;100013;|0;1;200000;|0;1;200016;|0;1;200026;|0;1;200008;,,,,
misc_device,misc_device_cp_slot,CPIND2,indication,119,0,119,0,119,26,22,ESCONDIDO|SAN DIEGO,code_line_station_control_point_bit,,0;1;200007;0001|0;1;200027;27|0;1;200017;22|0;1;200004;0001|0;1;200010;0001|0;1;200011;0001|0;1;200019;24|0;1;100013;0005|0;1;200000;0006|0;1;200016;0001|0;1;200012;0001|0;1;200013;0001,,,,
misc_device,misc_device_cp_slot,CPIND3,indication,119,0,119,0,119,26,22,ESCONDIDO|SAN DIEGO,code_line_station_control_point_bit,,0;1;200007;0001|0;1;200027;27|0;1;200017;22|0;1;200004;0001|0;1;200010;0001|0;1;200011;0001|0;1;200019;24|0;1;100013;0005|0;1;200000;0006|0;1;200016;0001|0;1;200012;0001|0;1;200013;0001,,,,
misc_device,misc_device_cp_slot,CPCTL2,control,119,2,117,0,119,26,22,ESCONDIDO|SAN DIEGO,code_line_station_control_point,inferred_bp_assignment_station_control_point_via_unique_cp_line,0;1;200007;|0;1;200027;|0;1;200017;|0;1;200004;|0;1;200010;|0;1;200011;|0;1;200019;|0;1;100013;|0;1;200000;|0;1;200016;|0;1;200026;|0;1;200008;,,32;1;200027;|31;1;200027;,1205WRZ|1207WRZ,REVERSE SWITCH CONTROL
misc_device,misc_device_cp_slot,CPCTL1,control,119,5,114,0,119,26,22,ESCONDIDO|SAN DIEGO,code_line_station_control_point,inferred_bp_assignment_station_control_point_via_unique_cp_line,0;1;200007;|0;1;200027;|0;1;200017;|0;1;200004;|0;1;200010;|0;1;200011;|0;1;200019;|0;1;200000;|0;1;200016;|0;1;200026;|0;1;100013;|0;1;200008;,,9;1;100013;|23;1;200002;|24;1;200002;|33;1;200027;|30;1;200027;,FNWZ|3ERLZ|3WRQZ|EBRQS,3 EASTBOUND SIGNAL REQ|3 WESTBOUND SIGNAL REQ|EBRQZ|FAKE NORMAL FOR 1205SW|FAKE NORMAL FOR 1207SW
switch,switch_reference,PCTL,control,198,85,113,0,99,40,14,ESCONDIDO|SAN DIEGO,code_line_station_control_point,inferred_bp_assignment_station_control_point_via_unique_cp_line,0;1;100009;|0;1;100009;|0;1;100001;|0;1;100001;|0;1;100005;|0;1;100005;|0;1;100006;|0;1;100006;|0;1;100013;|0;1;100013;|0;1;100017;|0;1;100017;|0;1;100018;|0;1;100018;|0;1;100027;|0;1;100027;|0;1;200004;|0;1;200004;|0;1;200027;|0;1;200027;|17;1;100006;|0;1;100006;|17;1;100007;|0;1;100007;,,1;1;100000;|0;1;100000;|1;1;100001;|0;1;100001;|1;1;100002;|0;1;100002;|3;1;100002;|0;1;100002;|1;1;100003;|0;1;100003;|1;1;100004;|0;1;100004;|3;1;100004;|0;1;100004;|17;1;100005;|0;1;100005;|1;1;100005;|0;1;100005;|1;1;100006;|0;1;100006;|17;1;100006;|0;1;100006;|1;1;100007;|0;1;100007;,1NWS|3NWS|NWS|5NWS|7NWS|FNWZ|11RWS|13NWS|3RWS|7RWS|9RWS,1 NORMAL SWITCH CONTROL|3 NORMAL SWITCH CONTROL|NORMAL SWITCH CONTROL|5 NORMAL SWITCH CONTROL|7 NORMAL SWITCH CONTROL|11 REVERSE SWITCH CONTROL|13 NORMAL SWITCH CONTROL|7 REVERSE SWITCH CONTROL|9 REVERSE SWITCH CONTROL|FAKE NORMAL FOR 1205SW|FAKE NORMAL FOR 1207SW|RAILMOVEMENT POSITION
switch,switch_reference,SCTL,control,198,85,113,0,99,40,14,ESCONDIDO|SAN DIEGO,code_line_station_control_point,inferred_bp_assignment_station_control_point_via_unique_cp_line,0;1;100009;|0;1;100009;|0;1;100001;|0;1;100001;|0;1;100005;|0;1;100005;|0;1;100006;|0;1;100006;|0;1;100013;|0;1;100013;|0;1;100017;|0;1;100017;|0;1;100018;|0;1;100018;|0;1;100027;|0;1;100027;|0;1;200004;|0;1;200004;|0;1;200027;|0;1;200027;|11;1;100033;|0;1;100033;|19;1;100006;|0;1;100006;,,3;1;100000;|0;1;100000;|3;1;100001;|0;1;100001;|2;1;100002;|0;1;100002;|4;1;100002;|0;1;100002;|3;1;100003;|0;1;100003;|2;1;100004;|0;1;100004;|4;1;100004;|0;1;100004;|19;1;100005;|0;1;100005;|3;1;100005;|0;1;100005;|3;1;100006;|0;1;100006;|19;1;100006;|0;1;100006;|3;1;100007;|0;1;100007;,1RWS|3RWS|RWS|5RWS|7RWS|1 RWS|11NWS|1205WRZ|1207WRZ|13RWS|3NWS|3RWZ,1 REVERSE SWITCH CONTROL|3 REVERSE SWITCH CONTROL|REVERSE SWITCH CONTROL|5 REVERSE SWITCH CONTROL|7 REVERSE SWITCH CONTROL|11 NORMAL SWITCH CONTROL|13 REVERSE SWITCH CONTROL|7 NORMAL SWITCH INDICATION|9 NORMAL SWITCH CONTROL|DERAIL POSITION
switch,switch_reference,LockBit,unknown,99,0,99,0,99,40,14,ESCONDIDO|SAN DIEGO,code_line_station_control_point,,0;1;100013|0;1;200027|0;1;100033|0;1;100009|0;1;100017|0;1;100002|0;1;100004|0;1;100005|0;1;100006|0;1;100007|0;1;100020|0;1;100001,,,,
switch,switch_reference,TIND,indication,99,0,99,0,99,40,14,ESCONDIDO|SAN DIEGO,code_line_station_control_point,,0;1;100013;|0;1;200027;|0;1;100033;|0;1;100009;|0;1;100017;|0;1;100002;|0;1;100004;|0;1;100005;|0;1;100006;|0;1;100007;|0;1;100020;|0;1;100001;,,,,
control_point,direct_control_point_slot,CPIND10,indication,50,0,50,0,50,50,24,ESCONDIDO|SAN DIEGO,code_line_station_control_point|code_line_station_control_point_bit,,0;0;100009;5|0;0;100016;5|0;1;100000|0;1;100001|0;1;100002|0;1;100003|0;1;100004|0;1;100005|0;1;100006|0;1;100007|0;1;100008|0;1;100010,,,,
control_point,direct_control_point_slot,CPIND5,indication,50,0,50,0,50,50,24,ESCONDIDO|SAN DIEGO,code_line_station_control_point|code_line_station_control_point_bit,,0;0;100009;5|0;0;100016;5|0;1;100000|0;1;100001|0;1;100002|0;1;100003|0;1;100004|0;1;100005|0;1;100006|0;1;100007|0;1;100008|0;1;100010,,,,
control_point,direct_control_point_slot,CPIND6,indication,50,0,50,0,50,50,24,ESCONDIDO|SAN DIEGO,code_line_station_control_point|code_line_station_control_point_bit,,0;0;100009;5|0;0;100016;5|0;1;100000|0;1;100001|0;1;100002|0;1;100003|0;1;100004|0;1;100005|0;1;100006|0;1;100007|0;1;100008|0;1;100010,,,,
control_point,direct_control_point_slot,CPIND7,indication,50,0,50,0,50,50,24,ESCONDIDO|SAN DIEGO,code_line_station_control_point|code_line_station_control_point_bit,,0;0;100009;5|0;0;100016;5|0;1;100000|0;1;100001|0;1;100002|0;1;100003|0;1;100004|0;1;100005|0;1;100006|0;1;100007|0;1;100008|0;1;100010,,,,
control_point,direct_control_point_slot,CPIND8,indication,50,0,50,0,50,50,24,ESCONDIDO|SAN DIEGO,code_line_station_control_point|code_line_station_control_point_bit,,0;0;100009;5|0;0;100016;5|0;1;100000|0;1;100001|0;1;100002|0;1;100003|0;1;100004|0;1;100005|0;1;100006|0;1;100007|0;1;100008|0;1;100010,,,,
