component_family,assignment_owner_type,reference_column,reference_kind,row_count,resolved_count,unresolved_count,default_zero_count,distinct_component_count,distinct_parent_control_point_count,distinct_codeline_count,subdivision_names,reference_formats,resolution_methods,top_unresolved_raw_values,top_default_zero_values,top_resolved_reference_values,top_resolved_mnemonics,top_resolved_long_names
control_point,direct_control_point_slot,CPIND9,indication,50,0,50,0,50,50,24,ESCONDIDO|SAN DIEGO,code_line_station_control_point|code_line_station_control_point_bit,,0;0;100009;5|0;0;100016;5|0;1;100000|0;1;100001|0;1;100002|0;1;100003|0;1;100004|0;1;100005|0;1;100006|0;1;100007|0;1;100008|0;1;100010,,,,
control_point,direct_control_point_slot,ScadaAlarmReportingIndicationBit,indication,50,0,50,0,50,50,24,ESCONDIDO|SAN DIEGO,code_line_station_control_point,,0;1;100000|0;1;100001|0;1;100002|0;1;100003|0;1;100004|0;1;100005|0;1;100006|0;1;100007|0;1;100008|0;1;100009|0;1;100010|0;1;100011,,,,
control_point,direct_control_point_slot,CPCTL1,control,50,0,48,2,50,50,24,ESCONDIDO|SAN DIEGO,code_line_station_control_point|default_zero,,0;1;100000|0;1;100001|0;1;100002|0;1;100003|0;1;100004|0;1;100005|0;1;100006|0;1;100007|0;1;100008|0;1;100010|0;1;100011|0;1;100012,0;0;0;0,,,
control_point,direct_control_point_slot,CPCTL2,control,50,0,48,2,50,50,24,ESCONDIDO|SAN DIEGO,code_line_station_control_point|default_zero,,0;1;100000|0;1;100001|0;1;100002|0;1;100003|0;1;100004|0;1;100005|0;1;100006|0;1;100007|0;1;100008|0;1;100010|0;1;100011|0;1;100012,0;0;0;0,,,
control_point,direct_control_point_slot,CPCTL3,control,50,0,48,2,50,50,24,ESCONDIDO|SAN DIEGO,code_line_station_control_point|default_zero,,0;1;100000|0;1;100001|0;1;100002|0;1;100003|0;1;100004|0;1;100005|0;1;100006|0;1;100007|0;1;100008|0;1;100010|0;1;100011|0;1;100012,0;0;0;0,,,
control_point,direct_control_point_slot,CPCTL4,control,50,0,48,2,50,50,24,ESCONDIDO|SAN DIEGO,code_line_station_control_point|default_zero,,0;1;100000|0;1;100001|0;1;100002|0;1;100003|0;1;100004|0;1;100005|0;1;100006|0;1;100007|0;1;100008|0;1;100010|0;1;100011|0;1;100012,0;0;0;0,,,
control_point,direct_control_point_slot,CPCTL5,control,50,0,48,2,50,50,24,ESCONDIDO|SAN DIEGO,code_line_station_control_point|default_zero,,0;1;100000|0;1;100001|0;1;100002|0;1;100003|0;1;100004|0;1;100005|0;1;100006|0;1;100007|0;1;100008|0;1;100010|0;1;100011|0;1;100012,0;0;0;0,,,
control_point,direct_control_point_slot,CPIND11,indication,50,0,48,2,50,50,24,ESCONDIDO|SAN DIEGO,code_line_station_control_point_bit|default_zero,,0;0;100000;5|0;0;100001;5|0;0;100002;5|0;0;100003;5|0;0;100004;5|0;0;100005;5|0;0;100006;5|0;0;100007;5|0;0;100008;5|0;0;100009;5|0;0;100010;5|0;0;100012;5,0;0;0;0,,,
control_point,direct_control_point_slot,CPIND12,indication,50,0,48,2,50,50,24,ESCONDIDO|SAN DIEGO,code_line_station_control_point_bit|default_zero,,0;0;100000;5|0;0;100001;5|0;0;100002;5|0;0;100003;5|0;0;100004;5|0;0;100005;5|0;0;100006;5|0;0;100007;5|0;0;100008;5|0;0;100009;5|0;0;100010;5|0;0;100012;5,0;0;0;0,,,
control_point,direct_control_point_slot,CPIND13,indication,50,0,48,2,50,50,24,ESCONDIDO|SAN DIEGO,code_line_station_control_point_bit|default_zero,,0;0;100000;5|0;0;100001;5|0;0;100002;5|0;0;100003;5|0;0;100004;5|0;0;100005;5|0;0;100006;5|0;0;100007;5|0;0;100008;5|0;0;100009;5|0;0;100010;5|0;0;100012;5,0;0;0;0,,,
track,track_reference,QIND,indication,77,0,36,41,77,11,1,SAN DIEGO,code_line_station_control_point_bit|default_zero,,0;0;100008;5|0;0;100020;5|0;0;100013;5|0;0;100029;5|0;0;100004;5|0;0;100035;5,0;0;0;0,,,
track,track_reference,PIND,indication,444,427,17,0,444,50,24,ESCONDIDO|SAN DIEGO,code_line_station_control_point_bit,inferred_bp_assignment_station_control_point_with_trailing_code_line|explicit_code_line_station_control_point_bp_assignment,0;0;200028;28|0;1;100001;0005|0;1;200000;6|0;1;100001;0000|0;1;100006;0005|0;1;100012;0005|0;1;100033;0005,,2;1;100000;0005|14;1;100000;0005|6;1;100000;0005|6;1;100016;0005|2;1;100001;0005|6;1;100001;0005|14;1;100001;0005|4;1;100001;0005|9;1;100002;0005|10;1;100002;0005|16;1;100002;0005|15;1;100002;0005,TK|1TK|3TK|4WAK|1WABK|2WAK|1EABK|4EAK|WAK|WAAK|2EAK|5TK,"OS TRACK INDICATION|1 OS TRACK INDICATION|3 OS TRACK INDICATION|3 OS TRACK CIRCUIT INDICATION|MAIN 1, WEST TRACK INDICATION|1 OS CIRCIUT INDICATION|1 OS TRACK CIRCUIT INDICATION|MAIN 1, EAST TRACK INDICATION|WAAK|3TK|5 OS TRACK CIRCUIT INDICATION|WAK"
switch,switch_reference,SIND,indication,99,87,12,0,99,40,14,ESCONDIDO|SAN DIEGO,code_line_station_control_point,inferred_bp_assignment_station_control_point_via_unique_cp_line,0;1;100009;|0;1;100001;|0;1;200027;|0;1;100013;|0;1;100017;|0;1;100018;|0;1;100027;,,3;1;100000;|3;1;100001;|2;1;100002;|4;1;100002;|3;1;100003;|2;1;100004;|4;1;100004;|19;1;100005;|3;1;100005;|17;1;100005;|1;1;100006;|3;1;100006;,1RWK|3RWK|RWK|5RWK|7RWK|1NWK|3NWK|11NWK|13RWK|5NWK|7NWK|9NWK,1 REVERSE SWITCH INDICATION|3 REVERSE SWITCH INDICATION|REVERSE SWITCH INDICATION|5 REVERSE SWITCH INDICATION|7 REVERSE SWITCH INDICATION|1 NORMAL SWITCH INDICATION|1 REVERSE SWITHC INDICATION|11 NORMAL SWITCH INDICATION|13 REVERSE SWITCH INDICATION|3 NORMAL SWITCH INDICATION|5 NORMAL SWITCH INDICATION|7 NORMAL SWITCH INDICATION
control_point,direct_control_point_slot,CPIND4,indication,50,38,12,0,50,50,24,ESCONDIDO|SAN DIEGO,code_line_station_control_point|code_line_station_control_point_bit,inferred_bp_assignment_station_control_point_via_unique_cp_line,0;0;100009;5|0;0;100016;5|0;1;100001|0;1;100006|0;1;100012|0;1;100018|0;1;100020|0;1;100022|0;1;100023|0;1;100024|0;1;200026|0;1;200028,,11;1;100000|19;1;100002|11;1;100003|19;1;100004|11;1;100005|11;1;100007|18;1;100008|19;1;100010|12;1;100011|40;1;100013|11;1;100015|11;1;100017,DOK|1001DOK|1003DOK|1016DOK|1026DOK|1029DOK|1041DOK|1059DOK|1075DOK|1080DOK|1091DOK|1101DOK,ILLEGAL ENTRY INDICATION|DOOR OPEN INDICATION|DOOR INDICATION|1029DOK|1075DOK DOOR OPEN
control_point,direct_control_point_slot,CPIND3,indication,50,39,11,0,50,50,24,ESCONDIDO|SAN DIEGO,code_line_station_control_point|code_line_station_control_point_bit,inferred_bp_assignment_station_control_point_via_unique_cp_line,0;0;100009;5|0;0;100016;5|0;1;100012|0;1;100018|0;1;100020|0;1;100022|0;1;100023|0;1;100024|0;1;200011|0;1;200026|0;1;200028,,13;1;100000|13;1;100001|20;1;100002|13;1;100003|20;1;100004|13;1;100005|13;1;100006|13;1;100007|19;1;100008|20;1;100010|13;1;100011|39;1;100013,LOK|1001LOK|1003LOK|1016LOK|1026LOK|1029LOK|1041LOK|1059LOK|1075LOK|1080LOK|1101LOK|1114LOK,LIGHT OUT INDICATION|1029LOK|1075LOK LIGHT OUT|MANUAL OPERATE INDICATION|SIGNAL LAMP OUT INDICATION
switch,switch_reference,PIND,indication,99,89,10,0,99,40,14,ESCONDIDO|SAN DIEGO,code_line_station_control_point,inferred_bp_assignment_station_control_point_via_unique_cp_line,0;1;100009;|0;1;100001;|0;1;100013;|0;1;100017;|0;1;100018;|0;1;100027;,,1;1;100000;|1;1;100001;|1;1;100002;|3;1;100002;|1;1;100003;|1;1;100004;|3;1;100004;|17;1;100005;|1;1;100005;|19;1;100005;|3;1;100006;|1;1;100006;,1NWK|3NWK|NWK|5NWK|7NWK|1RWK|3RWK|11RWK|1205NWK|1207NWK|13NWK|5RWK,1 NORMAL SWITCH INDICATION|3 NORMAL SWITCH INDICATION|NORMAL SWITCH INDICATION|5 NORMAL SWITCH INDICATION|7 NORMAL SWITCH INDICATION|1 REVERSE SWITCH INDICATION|3 REVERSE SWITCH INDICATION|3 SWITCH NORMAL INDICATION|11 REVERSE SWITCH INDICATION|1205 NORMAL SWITCH INDICATION|1207 NORMAL SWITCH INDICATION|13 NORMAL SWITCH INDICATION
control_point,direct_control_point_slot,CPIND1,indication,50,40,10,0,50,50,24,ESCONDIDO|SAN DIEGO,code_line_station_control_point|code_line_station_control_point_bit,inferred_bp_assignment_station_control_point_via_unique_cp_line,0;0;100009;5|0;0;100016;5|0;1;100012|0;1;100020|0;1;100022|0;1;100023|0;1;100024|0;1;200011|0;1;200026|0;1;200028,,9;1;100000|9;1;100001|18;1;100002|9;1;100003|18;1;100004|9;1;100005|9;1;100006|9;1;100007|17;1;100008|18;1;100010|10;1;100011|38;1;100013,LCK|1001MOK|1003MOK|1016MOK|1026MOK|1029MOK|1041MOK|1059MOK|1075MOK|1080MOK|1101MOK|1114MOK,MANUAL OPERATE INDICATION|LOCAL CONTROL INDICATION|LOCAL CONTROL|1029MOK|1075MOK LOCAL CONTROL|LOCAL CONTROL INDICAITON|RWRQR
switch,switch_reference,SwitchBlkBit,unknown,99,0,10,89,99,40,14,ESCONDIDO|SAN DIEGO,code_line_station_control_point|default_zero,,17;1;200027|9;1;200002|9;1;200004|10;1;200002|19;1;200027|20;1;200027|8;1;200028,0;0;0,,,
control_point,direct_control_point_slot,CPIND2,indication,50,45,5,0,50,50,24,ESCONDIDO|SAN DIEGO,code_line_station_control_point|code_line_station_control_point_bit,inferred_bp_assignment_station_control_point_via_unique_cp_line,0;0;100009;5|0;0;100016;5|0;1;100020|0;1;200026|0;1;200028,,8;1;100000|8;1;100001|17;1;100002|8;1;100003|17;1;100004|8;1;100005|8;1;100006|8;1;100007|8;1;100008|17;1;100010|9;1;100011|9;1;100012,POK|1001POK|1003POK|1016POK|1026POK|1029POK|1041POK|1059POK|1075POK|1080POK|1091POK|1101POK,POWER OFF INDICATION|1029POK|1075POK POWER OFF|POWER OFF|POWER OFF INDICAITON
track,track_reference,TrackBlockingReferences,unknown,3,0,3,0,3,1,1,ESCONDIDO,unparsed,,200449||200450||200451|,,,,
misc_device,misc_device_cp_slot,CPIND1,indication,119,117,2,0,119,26,22,ESCONDIDO|SAN DIEGO,code_line_station_control_point_bit,inferred_bp_assignment_station_control_point_with_trailing_code_line|explicit_code_line_station_control_point_bp_assignment,0;1;200027;0027,,11;1;100001;0005|21;1;100008;0005|20;1;100008;0005|14;1;100011;0005|9;1;100013;0005|10;1;100013;0005|15;1;100013;0005|24;1;100013;0005|23;1;100013;0005|29;1;100033;0005|30;1;100033;0005|21;1;200000;0006,1009DOK|1009POK|1011DOK|1011POK|1012DOK|1012POK|1015DOK|1015POK|1020DOK|1020POK|1032DOK|1032POK,1009DOK|1009POK|1011DOK|1011POK|1012DOK|1012POK|1015DOK|1015POK|1020DOK|1020POK|1032DOK|1032POK
switch,switch_reference,SwitchBlockControlBit,control,46,16,2,28,23,9,5,ESCONDIDO|SAN DIEGO,code_line_station_control_point_bit|default_zero,inferred_bp_assignment_station_control_point_with_trailing_code_line|explicit_code_line_station_control_point_bp_assignment,0;1;0;1|0;1;0;1,0;0;0;0|0;0;0;0,9;1;200002;7|12;1;200002;7|10;1;200002;7|13;1;200002;7|9;1;200004;8|10;1;200004;8|17;1;200027;27|25;1;200027;27|19;1;200027;27|27;1;200027;27|20;1;200027;27|28;1;200027;27|6;1;200028;28|14;1;200028;28,1BLZ|5BCAN|5BLZ|11BCAN|11BLZ|1BCAN|3BCAN|3BLZ|3SWBLKZ|7BCAN|7BLZ|9BCAN,SWITCH BLOCKED|SWITCH BLOCK|1 SWITCH BLOCK|11BCAN|2 SWITCH BLOCK|3 SWITCH BLOCK|3 SWITCH BLOCK CONTROL
signal,signal_reference,InTimeBit,indication,165,165,0,0,165,50,24,ESCONDIDO|SAN DIEGO,code_line_station_control_point,inferred_bp_assignment_station_control_point_via_unique_cp_line,,,10;1;100000|10;1;100001|11;1;100002|12;1;100002|10;1;100003|12;1;100004|11;1;100004|12;1;100005|10;1;100005|12;1;100006|10;1;100006|10;1;100007,TEK|2TEK|4TEK|EHK|WHK|1TEK|3TEK|5TEK|6TEK|WHKR|BWTEK|CHETEK,SIGNAL INTIME INDICATION|2 SIGNAL INTIME INDICATION|4 SIGNAL INTIME INDICATION|SIGNAL CLEAR|TIMER INDICATION|EASTBOUND SIGNAL INDICATION|WESTBOUND SIGNAL INDICATION|E-W SIGNALS IN TIME|2E 2W SIGNALS IN TIME INDICATION|4E 4W SIGNALS IN TIME INDICATION|IN-TIME INDICAITON|1 SIGNAL INTIME INDICATION
signal,signal_reference,PIND,indication,165,165,0,0,165,50,24,ESCONDIDO|SAN DIEGO,code_line_station_control_point_bit,inferred_bp_assignment_station_control_point_with_trailing_code_line|explicit_code_line_station_control_point_bp_assignment,,,5;1;100000;0005|7;1;100000;0005|5;1;100001;0005|7;1;100001;0005|5;1;100002;0005|6;1;100002;0005|7;1;100002;0005|8;1;100002;0005|5;1;100003;0005|7;1;100003;0005|8;1;100004;0005|6;1;100004;0005,EGK|WGK|2EGK|2WGK|4WGK|4EGK|EHK|WHK|2-4WGK|4WHK|EHKR|1EGK,EASTBOUND SIGNAL INDICATION|WESTBOUND SIGNAL INDICATION|SIGNAL CLEAR|2 EASTBOUND SIGNAL INDICATION|2 WESTBOUND SIGNAL INDICATION|4 WESTBOUND SIGNAL INDICATION|4 EASTBOUND SIGNAL INDICATION|2-4 WESBOUND SIGNAL INDICATION|2E SIGNAL CLEAR INDICATION|2W SIGNAL CLEAR INDICATION|4E SIGNAL CLEAR INDICATION|4W SIGNAL CLEAR INDICATION
signal,signal_reference,NearSideSignaBitlIndication,indication,165,26,0,139,165,50,24,ESCONDIDO|SAN DIEGO,code_line_station_control_point_bit|default_zero,inferred_bp_assignment_station_control_point_with_trailing_code_line|explicit_code_line_station_control_point_bp_assignment,,0;0;0;0,7;1;200002;0007|12;1;200004;0008|4;1;200005;0009|6;1;200005;0009|6;1;200006;0012|4;1;200006;0012|7;1;200007;0013|4;1;200008;0011|6;1;200008;0011|4;1;200009;0014|4;1;200011;0016|6;1;200011;0016,EGNK|1ENSSK|1WNSSK|WGNK|BWGNK|E1WGNK|E2WGNK|EC1EGNK|EC2EGNK|MEGNK|NEGNK|NWGNK,RELEASE TRAIN|1E SIGNAL NEAR SIDE SIGNAL INDICATION|1W SIGNAL NEAR SIDE SIGNAL INDICATION|MAIN 1 NSS|TRAIN RELEASE|MEGNK RELEASE TRAIN
signal,signal_reference,NearSideSignalBitControl,control,165,26,0,139,165,50,24,ESCONDIDO|SAN DIEGO,code_line_station_control_point_bit|default_zero,inferred_bp_assignment_station_control_point_with_trailing_code_line|explicit_code_line_station_control_point_bp_assignment,,0;0;0;0,7;1;200002;0007|12;1;200004;0008|4;1;200005;0009|6;1;200005;0009|6;1;200006;0012|4;1;200006;0012|7;1;200007;0013|4;1;200008;0011|6;1;200008;0011|4;1;200009;0014|4;1;200011;0016|6;1;200011;0016,EGNS|1ENSSZ|1WNSSZ|WGNS|BWGNS|E1WGNS|E2WGNS|EC1EGNS|EC2EGNS|MEGNS|NEGNS|NWGNS,TRAIN READY|1E SIGNAL NEAR SIDE SIGNAL CONTROL|1W SIGNAL NEAR SIDE SIGNAL CONTROL|MAIN 1 NSS|MAIN 2 NSS|MEGNS TRAIN READY
signal,signal_reference,CallOnBit,control,165,8,0,157,165,50,24,ESCONDIDO|SAN DIEGO,code_line_station_control_point_bit|default_zero,inferred_bp_assignment_station_control_point_with_trailing_code_line,,0;0;0;0,8;1;100008;0005|6;1;100011;0005|12;1;100013;0005|14;1;100013;0005|10;1;100013;0005|22;1;100033;0005|6;1;100033;0005|5;1;200000;0006,2ECOGHS|2WCOHS|4ECOGHS|4WCOGHS|6WCOGHS|ECOGHS|WCOGHS|WGHCOS,2 EAST SIGNAL CALL-ON|2W CALL-ON SIGNAL CONTROL|4 EAST SIGNAL CALL-ON|4W CALL-ON SIGNAL CONTROL|6W CALL-ON SIGNAL CONTROL|E CALL-ON SIGNAL CONTROL|SIGNAL CALL ON|WEST CALL-ON CONTROL
control_point,direct_control_point_slot,CPCTL10,control,48,0,0,48,48,48,24,ESCONDIDO|SAN DIEGO,default_zero,,,0;0;0;0,,,
control_point,direct_control_point_slot,CPCTL11,control,49,0,0,49,49,49,24,ESCONDIDO|SAN DIEGO,default_zero,,,0;0;0;0,,,
control_point,direct_control_point_slot,CPCTL12,control,49,0,0,49,49,49,24,ESCONDIDO|SAN DIEGO,default_zero,,,0;0;0;0,,,
control_point,direct_control_point_slot,CPCTL13,control,49,0,0,49,49,49,24,ESCONDIDO|SAN DIEGO,default_zero,,,0;0;0;0,,,
control_point,direct_control_point_slot,CPCTL6,control,48,0,0,48,48,48,24,ESCONDIDO|SAN DIEGO,default_zero,,,0;0;0;0,,,
control_point,direct_control_point_slot,CPCTL7,control,48,0,0,48,48,48,24,ESCONDIDO|SAN DIEGO,default_zero,,,0;0;0;0,,,
control_point,direct_control_point_slot,CPCTL8,control,48,0,0,48,48,48,24,ESCONDIDO|SAN DIEGO,default_zero,,,0;0;0;0,,,
control_point,direct_control_point_slot,CPCTL9,control,48,0,0,48,48,48,24,ESCONDIDO|SAN DIEGO,default_zero,,,0;0;0;0,,,
signal,signal_reference,BlockIndBit,indication,165,0,0,165,165,50,24,ESCONDIDO|SAN DIEGO,default_zero,,,0;0;0;0,,,
signal,signal_reference,JointControlAuthorizationCtlBit,control,330,0,0,330,165,50,24,ESCONDIDO|SAN DIEGO,default_zero,,,0;0;0;0|0;0;0;0,,,
signal,signal_reference,JointControlAuthorizationIndBit,control,165,0,0,165,165,50,24,ESCONDIDO|SAN DIEGO,default_zero,,,0;0;0;0,,,
track,track_reference,DerailmentDetectorCtlBit,control,444,0,0,444,444,50,24,ESCONDIDO|SAN DIEGO,default_zero,,,0;0;0;0,,,
track,track_reference,DerailmentDetectorIndBit,indication,444,0,0,444,444,50,24,ESCONDIDO|SAN DIEGO,default_zero,,,0;0;0;0,,,
track,track_reference,TrackLockBit,unknown,444,0,0,444,444,50,24,ESCONDIDO|SAN DIEGO,default_zero,,,0;0;0;0,,,
