"Symbol","EngineID","Direction","TrainType","Origin","Dest","Subdivision","TrackGUID","TrackComponentName","TrackName","TrackAlias","TrackRouteName","ControlPointName","TrainGUID","TrainLink","ScheduleStatus","PTCStatus","BulletinRouteCode","AuthorityDesignation","CTCAuthorityDesignation","HomeRoadCode","ActiveSubTrainSheet"
"A1562","","WEST","COMMUTER","LOS ANGELES","SAN DIEGO","NONE","0",,,,,,"3b566cc0-3c57-443d-adc5-638fb70b2a57","","NONE",,"SANDIE",,,"AMTK","19762813-9435-4360-882F-211D8FA2C1C2"
"A1591","","WEST","COMMUTER","SAN DIEGO","LOS ANGELES","NONE","0",,,,,,"58cf8215-e7ae-4ade-b62c-54256889d173","","NONE",,"SANDIE",,,"AMTK","5FFB59ED-874D-4F19-876F-E8B9D0A433E5"
"A1765","","WEST","COMMUTER","SAN DIEGO","LOS ANGELES","NONE","0",,,,,,"ec1441cd-e222-402f-a564-2f5aec8c1f41","","NONE",,"SANDIE",,,"AMTK","622AC4BA-7DE9-4C63-888E-9A6714F771DC"
"A1769","","WEST","COMMUTER","SAN DIEGO","LOS ANGELES","NONE","0",,,,,,"138a6e91-1eba-4460-95c8-5719d931c0fb","","NONE",,"SANDIE",,,"AMTK","B449A393-1978-4930-BE67-9A155BE884A1"
"A1770","","WEST","COMMUTER","LOS ANGELES","SAN DIEGO","NONE","0",,,,,,"e7a99ab5-f41c-4049-b9c3-15da813132fd","","NONE",,"SANDIE",,,"AMTK","24847DAF-BC12-4A6C-A141-029CD9516703"
"A1774","","WEST","COMMUTER","LOS ANGELES","SAN DIEGO","NONE","0",,,,,,"cac9eb6d-d08d-4058-88ac-795faccf539f","","NONE",,"SANDIE",,,"AMTK","50D3BDAC-5998-40DC-8E70-B7447C1F6C9A"
"A1777","","WEST","COMMUTER","SAN DIEGO","LOS ANGELES","NONE","0",,,,,,"5edd5427-9eaf-4a74-b2c3-e5528d09cc3f","","NONE",,"SANDIE",,,"AMTK","C03B4C47-4C8E-408D-B794-9455C65AC3FA"
"A1784","","WEST","COMMUTER","LOS ANGELES","SAN DIEGO","NONE","0",,,,,,"1abd45a8-0864-4d2c-9fba-2f706479b2d4","","NONE",,"SANDIE",,,"AMTK","CB4C47C1-2A53-4452-AF8C-8BBE9FB86FC4"
"A1785","","WEST","COMMUTER","SAN DIEGO","LOS ANGELES","NONE","0",,,,,,"3c0ea8de-831f-408c-ae5f-75d080bc321e","","NONE",,"SANDIE",,,"AMTK","3920BF98-566B-4B53-8910-2A9852C099C6"
"A1790","","WEST","COMMUTER","LOS ANGELES","SAN DIEGO","NONE","0",,,,,,"9dc13fa7-3655-4836-84e1-d514ca301cc2","","NONE",,"SANDIE",,,"AMTK","926AD0B0-76B8-41DF-8589-546C3CECC2EB"
"A562","X","EAST","COMMUTER","LOS ANGELES","SAN DIEGO","2","100921","SHELF","MT1","MT1","ROUTE NAME","SONGS","08f54e79-8b96-4a04-ba45-7d89cc7b00c8","","NONE",,"SANDIE",,,"AMTK","83BB4C47-118C-4886-A082-C5686D643B22"
"A564","X","EAST","COMMUTER","LOS ANGELES","SAN DIEGO","2","100921","SHELF","MT1","MT1","ROUTE NAME","SONGS","ae87c378-767a-4cb2-bfa1-90d63c3de714","","NONE",,"SANDIE",,,"AMTK","04DE45FD-9059-459F-8D21-E19186576FE3"
"A566","X","EAST","COMMUTER","LOS ANGELES","SAN DIEGO","2","100921","SHELF","MT1","MT1","ROUTE NAME","SONGS","ff36e4a3-2aaf-4cbf-96a6-82c667058477","","NONE",,"SANDIE",,,"AMTK","2F10B45A-A89A-4DFC-BEF7-1B229D31F8D3"
"A567","X","WEST","COMMUTER","","","2","100156","SHELF","MT1","MT1","ROUTE NAME","ASH","8A840FE3-AE95-4105-BD61-C7CA964C0B33","","",,,,,"AMTK","19BD3C51-A364-4066-A882-0DB3C313E892"
"A568","","EAST","COMMUTER","LOS ANGELES","SAN DIEGO","NONE","0",,,,,,"96314066-479e-4b67-8595-882d71b223e5","","NONE",,"SANDIE",,,"AMTK","988A62CE-C6DC-4442-9051-B6D7B72EDB48"
"A572","X","EAST","COMMUTER","LOS ANGELES","SAN DIEGO","2","100921","SHELF","MT1","MT1","ROUTE NAME","SONGS","e4b1b3a2-1e30-45a3-9731-b31794552a03","","NONE",,"SANDIE",,,"AMTK","F67E7427-B546-4F01-8257-659E2EBF41F7"
"A573","X","WEST","COMMUTER","SAN DIEGO","LOS ANGELES","2","100156","SHELF","MT1","MT1","ROUTE NAME","ASH","9f3fd574-dcfa-4b40-abe1-46e81edab032","","NONE",,"SANDIE",,,"AMTK","E84F0A2A-3EF6-4D44-A640-2F1BCA911BCE"
"A575","","WEST","COMMUTER","SAN DIEGO","LOS ANGELES","NONE","0",,,,,,"3caf6ea5-c265-479e-8f15-13fc629cc41b","","NONE",,"SANDIE",,,"AMTK","6A1CA812-426E-4566-BC12-9C887D6ED71A"
"A579","X","WEST","COMMUTER","SAN DIEGO","LOS ANGELES","2","100156","SHELF","MT1","MT1","ROUTE NAME","ASH","1c15d2b3-cd41-4a71-92bd-b69e49e73339","","NONE",,"SANDIE",,,"AMTK","653D3FD9-3F1C-48DC-8C96-EB0DE1BA9845"
"A580","","EAST","COMMUTER","LOS ANGELES","SAN DIEGO","NONE","0",,,,,,"f75c3a71-43ce-44a0-bf02-c05fcb07f0e7","","NONE",,"SANDIE",,,"AMTK","853AD891-5E7A-4429-B88E-E4F0762B1305"
"A581","X","WEST","COMMUTER","SAN DIEGO","LOS ANGELES","2","100156","SHELF","MT1","MT1","ROUTE NAME","ASH","31b247aa-c9ac-484f-9e86-738484260a00","","NONE",,"SANDIE",,,"AMTK","CB618B19-3D4E-4A8A-B3F0-A8E6FA4CC9A1"
"A583","","WEST","COMMUTER","SAN DIEGO","LOS ANGELES","NONE","0",,,,,,"c23f59d7-b9f8-488f-ba64-c3bfc0807252","","NONE",,"SANDIE",,,"AMTK","26740C7F-0294-4634-9438-A420CC123ECF"
"A584","","EAST","COMMUTER","LOS ANGELES","SAN DIEGO","NONE","0",,,,,,"7509b601-6b71-4fc3-913e-c311446dca55","","NONE",,"SANDIE",,,"AMTK","332A4A89-21F2-4D47-B114-E798468E0B4A"
"A586","","EAST","COMMUTER","LOS ANGELES","SAN DIEGO","NONE","0",,,,,,"fbfd8b95-b48d-417c-a190-9a1981097888","","NONE",,"SANDIE",,,"AMTK","624FCF8D-919F-4115-8FA9-B74BA7C58C95"
"A587","X","WEST","COMMUTER","SAN DIEGO","LOS ANGELES","2","100156","SHELF","MT1","MT1","ROUTE NAME","ASH","7d6a41a0-75f8-4503-bb5b-eb5790d5268e","","NONE",,"SANDIE",,,"AMTK","C76091B1-0B44-4BD8-9749-8CDE28A9A249"
"A591","X","WEST","COMMUTER","SAN DIEGO","LOS ANGELES","2","100156","SHELF","MT1","MT1","ROUTE NAME","ASH","70e2c702-0fce-4e1e-9902-9f826e309ce5","","NONE",,"SANDIE",,,"AMTK","D5B61A09-B0F1-4436-8CB1-A4ACB84A3733"
"A593","X","WEST","COMMUTER","SAN DIEGO","LOS ANGELES","2","100156","SHELF","MT1","MT1","ROUTE NAME","ASH","c63fca6e-6953-4c36-8e2c-3991a7d4d978","","NONE",,"SANDIE",,,"AMTK","175EA6B9-9B8E-4AF7-9F40-785F6F169F73"
"A594","","EAST","COMMUTER","LOS ANGELES","SAN DIEGO","NONE","0",,,,,,"18276e07-0130-43da-953d-2728e5f9c1eb","","NONE",,"SANDIE",,,"AMTK","58D10834-EF76-4D8A-B214-E708C1BE3052"
"A595","X","WEST","COMMUTER","SAN DIEGO","LOS ANGELES","2","100156","SHELF","MT1","MT1","ROUTE NAME","ASH","2e3e748f-c33c-4798-af17-288d10b9fb34","","NONE",,"SANDIE",,,"AMTK","9569B2B9-0653-48EB-89A9-968E30C8F813"
"A597","","WEST","COMMUTER","SAN DIEGO","LOS ANGELES","NONE","0",,,,,,"b35bd0fa-6781-4d33-b50b-62b5797f7489","","NONE",,"SANDIE",,,"AMTK","1A738EC2-180E-4613-8A8D-8655A20BC132"
"A761","AMTK  6904","WEST","COMMUTER","SAN DIEGO","LOS ANGELES","2","100156","SHELF","MT1","MT1","ROUTE NAME","ASH","13436b8b-5570-4688-bc75-341af7212463","","NONE",,"SANDIE",,,"AMTK","D4FDEE27-878E-40FA-BB17-26F44A28906B"
"A765","AMTK  6908","WEST","COMMUTER","SAN DIEGO","LOS ANGELES","2","100156","SHELF","MT1","MT1","ROUTE NAME","ASH","6f64852d-003a-41eb-8eee-a99496dc34d5","","NONE",,"SANDIE",,,"AMTK","984FC0DE-4BBB-4995-8FAC-FE7D9CEF739D"
"A769","X","WEST","COMMUTER","SAN DIEGO","LOS ANGELES","2","100156","SHELF","MT1","MT1","ROUTE NAME","ASH","ad5beb94-288a-4f77-906a-d7c7a7b626ea","","NONE",,"SANDIE",,,"AMTK","DCE9D909-1FAB-431D-8CF6-5296E9D75C91"
"A770","X","EAST","COMMUTER","LOS ANGELES","SAN DIEGO","2","100921","SHELF","MT1","MT1","ROUTE NAME","SONGS","f9bac046-2be5-4cf9-8d00-b24060ff0338","","NONE",,"SANDIE",,,"AMTK","90BD8C83-7897-4069-812B-67B10FD2E364"
"A774","","EAST","COMMUTER","LOS ANGELES","SAN DIEGO","NONE","0",,,,,,"1ef5bdf9-6f1e-4f8f-967c-09bd698d5c7a","","NONE",,"SANDIE",,,"AMTK","EB782479-5D71-4F05-B2E7-D028DB84D2AF"
"A777","X","WEST","COMMUTER","SAN DIEGO","LOS ANGELES","2","100156","SHELF","MT1","MT1","ROUTE NAME","ASH","1f733ec4-228a-4851-881c-54856df38ab7","","NONE",,"SANDIE",,,"AMTK","81F67928-C2CD-438F-8453-65570504D6D5"
"A782","","EAST","COMMUTER","LOS ANGELES","SAN DIEGO","NONE","0",,,,,,"d939a007-9cc4-48d6-a521-4b55c3c095b3","","NONE",,"SANDIE",,,"AMTK","2CFBE3C7-4E90-4353-9588-111FD63834EF"
"A785","X","WEST","COMMUTER","SAN DIEGO","LOS ANGELES","2","100156","SHELF","MT1","MT1","ROUTE NAME","ASH","f0777156-34d4-4bf4-bffc-59d2877bc95f","","NONE",,"SANDIE",,,"AMTK","7953175C-EB51-4B83-87E4-88CA19831306"
"A790","","EAST","COMMUTER","LOS ANGELES","SAN DIEGO","NONE","0",,,,,,"172d988e-fe48-44ea-b49b-ac713ed9383f","","NONE",,"SANDIE",,,"AMTK","FC7CA962-122E-4E8B-A8FD-C4BB664187BD"
"A799","","WEST","COMMUTER","SAN DIEGO","LOS ANGELES","NONE","0",,,,,,"4d3761a7-bea0-44aa-9cc3-440646be75e8","","NONE",,"SANDIE",,,"AMTK","51A7134C-700C-4DDF-9806-2C9002E185B0"
"BNSF  6161","BNSF  6161","EAST","FREIGHT","","","0","0",,,,,,"46F9A136-DEBA-4832-AC03-859FFBB44DE3","","","ACTIVE",,,,"BNSF","534EF0A6-6A37-40E8-8D55-D5F759E2DB5A"
"BNSFTEST","BNSF  6562","EAST","FREIGHT","","","0","0",,,,,,"CFB1C8FF-922C-40B5-8186-6B9EC7BF9348","","","INACTIVE",,,,"BNSF","3DD5473B-F18B-42AB-96EB-E20F5178F9D2"
"C22DH","NCTC  2304","EAST","COMMUTER","","","0","0",,,,,,"03443EAF-486B-4E85-8DDE-F2969450CD27","","",,,,,"NCTC","3F2787A5-C74B-4301-97B6-9E9CE4233292"
"C620","NCTC  2309","EAST","COMMUTER","OCEANSIDE","SAN DIEGO","0","0",,,,,,"b2875b8d-02ff-4630-9c4c-802385bc7d84","","NONE",,"SANDIE",,,"NCTC","C4E423C6-27CB-47E4-B776-6FE87EB5ECB7"
"C620DH","NCTC  2309","EAST","COMMUTER","OCEANSIDE","SAN DIEGO","0","0",,,,,,"e7c7127c-0755-40ac-b9eb-f0ce8e6bf583","","NONE",,"SANDIE",,,"NCTC","C15BE7AD-0506-40E4-B53F-805DD998C371"
"C621","NCTC  5001","WEST","COMMUTER","SAN DIEGO","OCEANSIDE","0","0",,,,,,"37a356b3-be10-435b-a5be-30fea85b1a1d","","NONE",,"SANDIE",,,"NCTC","05C23EAC-D63B-4456-B477-05BD0F1DD3EA"
"C622","NCTC  2308","EAST","COMMUTER","OCEANSIDE","SAN DIEGO","0","0",,,,,,"6430a30b-0dc8-418d-8f77-96c157c600dc","","NONE",,"SANDIE",,,"NCTC","2DBF5D21-6AE1-41F0-9B4E-298B40A6064F"
"C622DH","NCTC  2308","EAST","COMMUTER","OCEANSIDE","SAN DIEGO","0","0",,,,,,"e052e88c-588b-493c-88ae-58a4811e103e","","NONE",,"SANDIE",,,"NCTC","6B1EF8CD-6D7D-4F3C-B0BC-9E94A78ABEFD"
"C623","NCTC  5005","WEST","COMMUTER","SAN DIEGO","OCEANSIDE","0","0",,,,,,"f0cb5d19-d7dc-43de-a00f-eb4768d70d27","","NONE",,"SANDIE",,,"NCTC","E1D64CC1-0207-49A1-A119-ED3EBAB562FB"
"C624","NCTC  2306","EAST","COMMUTER","OCEANSIDE","SAN DIEGO","0","0",,,,,,"b5595396-4a56-4993-bb27-e70e09c9719b","","NONE",,"SANDIE",,,"NCTC","347AE0BD-ACD5-439D-BE2D-B3EDDCFD319D"
"C624DH","NCTC  2306","EAST","COMMUTER","OCEANSIDE","SAN DIEGO","0","0",,,,,,"0d7723a9-d252-4843-a24d-74deaec783fb","","NONE",,"SANDIE",,,"NCTC","790AE1D5-646C-4A06-BD1B-51E1C386F86C"
"C625","NCTC  5006","WEST","COMMUTER","SAN DIEGO","OCEANSIDE","0","0",,,,,,"822c6969-eaa8-41a2-b9e4-3dade859e60c","","NONE",,"SANDIE",,,"NCTC","88D12E8E-9A83-4A38-AB50-17ACF25A15FB"
"C626","NCTC  2309","EAST","COMMUTER","OCEANSIDE","SAN DIEGO","0","0",,,,,,"d7ec1377-cb41-488b-b0b2-e330aead453b","","NONE",,"SANDIE",,,"NCTC","3244A823-B1B3-47B8-AAB8-4242C7BBBCC3"
"C627","NCTC  5001","WEST","COMMUTER","SAN DIEGO","OCEANSIDE","0","0",,,,,,"62577867-83af-4853-ba52-40320a385ffa","","NONE",,"SANDIE",,,"NCTC","21EBDE18-035D-4E34-B96F-D42DFFF94CA3"
"C627DH","NCTC  5001","WEST","COMMUTER","SAN DIEGO","OCEANSIDE","0","0",,,,,,"7459c80e-9c6b-4d75-8594-de455db7f1ef","","NONE",,"SANDIE",,,"NCTC","4FF49FFC-BB05-4902-8994-23E4ABA28BE6"
"C628","NCTC   423","EAST","COMMUTER","OCEANSIDE","SAN DIEGO","0","0",,,,,,"34b1ba22-be6b-4fe9-9317-56469f937290","","NONE",,"SANDIE",,,"NCTC","3A96EDF9-E2E9-4E04-8356-203E9C1E1349"
"C628DH","NCTC   423","EAST","COMMUTER","OCEANSIDE","SAN DIEGO","0","0",,,,,,"1597c2cd-ecf4-4947-b8f5-641acd04994c","","NONE",,"SANDIE",,,"NCTC","EE3112D1-2C85-445D-8DA0-92CA714687E1"
"C629","NCTC  5008","WEST","COMMUTER","SAN DIEGO","OCEANSIDE","0","0",,,,,,"3d1cbd74-902b-4363-857b-bd658a53cfe8","","NONE",,"SANDIE",,,"NCTC","E3DE38A8-CAF6-49B7-9A77-54B693418B59"
"C63","","EAST","COMMUTER","","","0","0",,,,,,"0E8F03B8-A4E6-49A6-9C71-97D174DA21AD","","",,,,,"NCTC","BC8F3A51-E8C0-42A2-A903-63CA6000EF05"
"C630","NCTC  2308","EAST","COMMUTER","OCEANSIDE","SAN DIEGO","0","0",,,,,,"be903e43-bacd-4d05-a2ba-e6645a8770b1","","NONE",,"SANDIE",,,"NCTC","0D582B8F-082D-4798-846D-34B8C53DF111"
"C631","NCTC  5005","WEST","COMMUTER","SAN DIEGO","OCEANSIDE","0","0",,,,,,"add89919-62dd-4c37-b642-d4bd5f0a791b","","NONE",,"SANDIE",,,"NCTC","B4D16CC8-37F8-49CB-9337-BD9E31E71A46"
"C632","NCTC  2306","EAST","COMMUTER","OCEANSIDE","SAN DIEGO","0","0",,,,,,"113de0c5-4e79-4b13-ad37-6b0143666707","","NONE",,"SANDIE",,,"NCTC","40CE649F-D7AF-46DD-905D-9BE2D354E8AE"
"C633","NCTC  5006","WEST","COMMUTER","SAN DIEGO","OCEANSIDE","0","0",,,,,,"82316c2b-cef9-48e2-97ee-2f1842fd0af5","","NONE",,"SANDIE",,,"NCTC","D4C8E351-827C-4289-A755-0124DA34E8E6"
"C634","NCTC   423","EAST","COMMUTER","OCEANSIDE","SAN DIEGO","0","0",,,,,,"b62cf9a3-95c9-4af3-b7ac-4806dbc982d0","","NONE",,"SANDIE",,,"NCTC","E108534C-688A-4685-A9DA-F1E2A663A77B"
"C635","NCTC  5008","WEST","COMMUTER","SAN DIEGO","OCEANSIDE","0","0",,,,,,"c84514f8-151a-4bed-a773-4c42b6d32cd4","","NONE",,"SANDIE",,,"NCTC","EB4DB8FF-E413-4B1A-B6CE-B64004E5C9FD"
"C636","NCTC  2308","EAST","COMMUTER","OCEANSIDE","SAN DIEGO","0","0",,,,,,"b7e6a996-18f6-4281-9bd8-2e431b4fa754","","NONE",,"SANDIE",,,"NCTC","1C2F1F0E-36E8-41AA-8B54-7E10FCBA005C"
"C637","NCTC  5005","WEST","COMMUTER","SAN DIEGO","OCEANSIDE","0","0",,,,,,"798761f2-4b14-4402-8515-86b7aa94e217","","NONE",,"SANDIE",,,"NCTC","51C1527B-3947-43FC-A7F0-88141AE350B7"
"C638","NCTC  2309","EAST","COMMUTER","OCEANSIDE","SAN DIEGO","0","0",,,,,,"00aae270-8ae6-45aa-927d-ce45198910ec","","NONE",,"SANDIE",,,"NCTC","FD0251A1-6CAA-4FAF-BE43-754E53778E97"
"C638DH","NCTC  2309","EAST","COMMUTER","OCEANSIDE","SAN DIEGO","0","0",,,,,,"8037006c-c755-453b-be7f-03a662c1b41a","","NONE",,"SANDIE",,,"NCTC","92AE0297-CB86-446C-A3BA-296E7DF75F28"
"C639","NCTC  5001","WEST","COMMUTER","SAN DIEGO","OCEANSIDE","0","0",,,,,,"c341dc2c-96d8-445f-8689-cdef7caa9f16","","NONE",,"SANDIE",,,"NCTC","FEEE41E1-00A7-45B6-A801-A6A098FE1678"
"C639DH","NCTC  5001","WEST","COMMUTER","SAN DIEGO","OCEANSIDE","0","0",,,,,,"d987518f-3a8b-4b17-907c-e12f06f30048","","NONE",,"SANDIE",,,"NCTC","1ABDF7A2-FCD2-4A98-A384-E05992D9F96E"
"C640","NCTC  2306","EAST","COMMUTER","OCEANSIDE","SAN DIEGO","0","0",,,,,,"cfc31b0f-aa7b-4eea-9a12-98b475136b37","","NONE",,"SANDIE",,,"NCTC","7B1678E0-5A1D-47C8-B581-A9A750A176B7"
"C641","NCTC  5006","WEST","COMMUTER","SAN DIEGO","SAN DIEGO","0","0",,,,,,"de8632ce-76fe-4537-8b8f-1f9a5cca9adc","","NONE",,"SANDIE",,,"NCTC","EDBF0261-2EFD-4254-BF2D-388B64F417DE"
"C642","NCTC   423","EAST","COMMUTER","OCEANSIDE","SAN DIEGO","0","0",,,,,,"5f797cae-20ef-40c7-8e8b-38a8c09e540c","","NONE",,"SANDIE",,,"NCTC","0C07BECF-897A-4458-8C1A-72C06FD31689"
"C643","NCTC  5008","WEST","COMMUTER","SAN DIEGO","OCEANSIDE","0","0",,,,,,"88dd15d1-c212-4a37-a26e-bc8ce8436530","","NONE",,"SANDIE",,,"NCTC","13927011-EDE0-412D-8708-28C8A8EECEA8"
"C643DH","","WEST","COMMUTER","SAN DIEGO","OCEANSIDE","NONE","0",,,,,,"918e9026-6e2c-4fc1-872a-981397449738","","NONE",,"SANDIE",,,"NCTC","1B362067-E70B-4AA8-B27C-916794DF4387"
"C644","NCTC  2308","EAST","COMMUTER","OCEANSIDE","SAN DIEGO","0","0",,,,,,"57250621-4129-4a75-9ea2-a98d449f289a","","NONE",,"SANDIE",,,"NCTC","F70CCD4E-A55F-4F32-A3CD-3C95645E0D8B"
"C645","NCTC  5005","WEST","COMMUTER","SAN DIEGO","OCEANSIDE","0","0",,,,,,"e81cb87b-6fe9-463b-b228-9975c5544996","","NONE",,"SANDIE",,,"NCTC","913764EA-15F2-4E70-BE2C-D92B8C856FB4"
"C645DH","NCTC  5005","WEST","COMMUTER","SAN DIEGO","OCEANSIDE","0","0",,,,,,"f5eae51b-3466-419e-8777-2970f9e63e4f","","NONE",,"SANDIE",,,"NCTC","3FA0D271-FB43-4273-96EA-E4CAB69924CD"
"C646","NCTC  2306","EAST","COMMUTER","OCEANSIDE","OCEANSIDE","0","0",,,,,,"c24512fb-36e9-4527-8660-9c1e8d552188","","NONE",,"SANDIE",,,"NCTC","CA8E1ECB-BD8C-4C26-AFDE-7FA05A7C09E3"
"C647","NCTC  5006","WEST","COMMUTER","SAN DIEGO","OCEANSIDE","0","0",,,,,,"2ed8830a-70a3-4e63-bf7e-1c1ee39ece25","","NONE",,"SANDIE",,,"NCTC","DA2A77B6-8830-4AA1-BD60-E68E10F1E812"
"C647DH","NCTC  5006","WEST","COMMUTER","SAN DIEGO","OCEANSIDE","0","0",,,,,,"f35b160f-b42b-45cd-8a47-c01e94f2dbfb","","NONE",,"SANDIE",,,"NCTC","EA812D44-6273-4E9F-BA22-816474935B60"
"C648","NCTC   423","EAST","COMMUTER","OCEANSIDE","SAN DIEGO","0","0",,,,,,"965d2a4f-9289-4a22-ab79-17f16c6e7bd1","","NONE",,"SANDIE",,,"NCTC","4326B5F5-2647-4700-A44F-D1492346D45D"
"C649","NCTC  5008","WEST","COMMUTER","SAN DIEGO","OCEANSIDE","0","0",,,,,,"16672d1e-124e-4251-926b-42957b7a15d3","","NONE",,"SANDIE",,,"NCTC","704A6187-4E96-4ABF-B6C7-DD15614AC39F"
"C649DH","NCTC  5008","WEST","COMMUTER","SAN DIEGO","OCEANSIDE","0","0",,,,,,"46b02176-3935-4386-adcf-0e59da4ca586","","NONE",,"SANDIE",,,"NCTC","0274CAF7-68E8-496B-96D4-4CF1830A2B6B"
"C650","","EAST","COMMUTER","OCEANSIDE","SAN DIEGO","NONE","0",,,,,,"3cb44e08-0e64-44ef-b931-37810172a48d","","NONE",,"SANDIE",,,"NCTC","F53A6112-1152-4E01-9D08-B6ACFC9C2D02"
"C650DH","","EAST","COMMUTER","OCEANSIDE","SAN DIEGO","NONE","0",,,,,,"2030f4a7-cac6-4352-970b-29ae31977766","","NONE",,"SANDIE",,,"NCTC","F3379890-6860-45F7-BBAD-A7E2428BE52F"
"C651","","WEST","COMMUTER","SAN DIEGO","OCEANSIDE","NONE","0",,,,,,"7d54a5d7-a8e0-4ce4-b61d-cdb01e900a5c","","NONE",,"SANDIE",,,"NCTC","ACCCD669-B3A3-4E05-8E29-0DB3160EDDEC"
"C651DH","","WEST","COMMUTER","SAN DIEGO","OCEANSIDE","NONE","0",,,,,,"3436dc4f-662f-4fd9-9c17-ad6128d9eb6b","","NONE",,"SANDIE",,,"NCTC","7AD9ED5E-6F87-4CDF-94D5-722DBC2E19D3"
"C653","","WEST","COMMUTER","SAN DIEGO","OCEANSIDE","NONE","0",,,,,,"e8d8ddc6-5d0b-4c16-8b9a-fab9ea8df6e4","","NONE",,"SANDIE",,,"NCTC","9491C455-80FD-4BEC-8094-3BE52CC584D1"
"C654","","EAST","COMMUTER","OCEANSIDE","SAN DIEGO","NONE","0",,,,,,"c259fa96-0245-4dca-abb7-0c2faf50d661","","NONE",,"SANDIE",,,"NCTC","480FD64F-D849-4B0D-99C5-DEE0B136D438"
"C655","","WEST","COMMUTER","SAN DIEGO","OCEANSIDE","NONE","0",,,,,,"954b07c1-4513-453b-a3ea-598b1d4d875d","","NONE",,"SANDIE",,,"NCTC","01534428-F26B-47CB-B7EA-E81822C8D3ED"
"C660","","EAST","COMMUTER","OCEANSIDE","SAN DIEGO","NONE","0",,,,,,"4d884cb6-5ed9-4e49-ab0f-80597c7711ff","","NONE",,"SANDIE",,,"NCTC","8031BAF2-0854-41DE-8F49-B4ABAFEFD5CB"
"C663","","WEST","COMMUTER","SAN DIEGO","OCEANSIDE","NONE","0",,,,,,"7112bb3d-1d0c-4b54-a143-6268f0a8acb3","","NONE",,"SANDIE",,,"NCTC","8F4702A2-3C18-484A-9542-914B462372DA"
"C663DH","","WEST","COMMUTER","SAN DIEGO","OCEANSIDE","NONE","0",,,,,,"842b3999-bc6d-4356-9aca-b3dba18973ff","","NONE",,"SANDIE",,,"NCTC","2368203B-1580-4F94-A819-D0F28B18721D"
"C664DH","","EAST","COMMUTER","OCEANSIDE","SAN DIEGO","NONE","0",,,,,,"6950e934-a4b8-47c8-a207-2923e1a0ce9c","","NONE",,"SANDIE",,,"NCTC","0568522E-CAE6-4A11-ACC5-404ECC315F77"
"C665","","WEST","COMMUTER","SAN DIEGO","OCEANSIDE","NONE","0",,,,,,"ecb2a94a-c665-4728-a708-f000ff4c908b","","NONE",,"SANDIE",,,"NCTC","04A45F6B-A155-4745-B3E9-18C20E210454"
"C665DH","","WEST","COMMUTER","SAN DIEGO","OCEANSIDE","NONE","0",,,,,,"3af13814-5c6b-4540-8124-81916bc4abb1","","NONE",,"SANDIE",,,"NCTC","638145EE-A5E7-43CC-9D6F-769E518A3ACE"
"C677DH","","WEST","COMMUTER","SAN DIEGO","SAN DIEGO","NONE","0",,,,,,"40a284e1-20bb-4250-ab95-65edbf1ee254","","NONE",,"SANDIE",,,"NCTC","EFC9E5B4-BE29-4F2D-A4A6-3D9ED7944E27"
"C679DH","NCTC  5006","WEST","COMMUTER","SAN DIEGO","OCEANSIDE","0","0",,,,,,"20f3cc01-a7ea-4195-a687-092107ef4b05","","NONE",,"SANDIE",,,"NCTC","AB05FE67-C2F8-4A0F-81E0-573E5E40AEF7"
